serial,gain_e_per_adu,read_noise_e,dark_e_per_s,full_well_e,notes
20002,1.073,2.48,0.00137,,blue
20003,1.05,2.4,0.0012,,blue
20004,0.998,2.31,0.000865,,blue
20005,1.037,2.38,0.00144,,green
20006,1.059,2.41,0.00128,,red
20007,1.094,2.26,0.00176,,blue
20008,1.01,2.77,0.00198,,green
20009,0.903,2.56,0.00113,,red
20010,1.033,2.44,0.00103,,blue
20011,1.061,2.69,0.00147,,green
20012,1.031,2.44,0.00113,,red
20013,1.073,2.62,0.00107,,blue
20014,1.06,2.54,0.00104,,green
20015,1.007,2.35,0.000951,,red
20016,1.053,2.65,0.00107,,blue
20017,1.029,2.41,0.00117,,green
20018,1.051,2.43,0.00191,,red
20019,1.025,2.26,0.000542,,green
20020,1.063,2.66,0.00121,,green
20021,1.069,2.4,0.00117,,red
20022,1.071,2.59,0.000689,,blue
20023,1.007,2.69,0.000643,,green
20024,1.044,2.63,0.00171,,red
20025,1.049,2.47,0.00137,,green
20026,1.032,2.48,0.00076,,red